trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 1.0}",20,0,-111.64428711819812,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.9, 'e': 0.25}",20,0,-70.31060886994636,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.1111111111111111}",25,13,-44.15114734154018,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.0625}",20,0,-77.55075361825746,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.04}",20,12,-52.2801438649277,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.027777777777777776}",25,16,6.404422161319104,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 0.02040816326530612}",20,0,15.423389378851857,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.015625}",20,0,-73.928202253481,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.012345679012345678}",30,0,-39.86394920933098,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.9, 'e': 0.01}",20,11,4.858513468673309,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.008264462809917356}",30,0,-25.05675120052387,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.006944444444444444}",25,8,35.99399005169509,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.005917159763313609}",25,6,-5.0818431566342435,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.00510204081632653}",25,0,-0.6023583202570557,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.0044444444444444444}",20,0,28.382767146174672,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.00390625}",25,13,20.35728302455057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.0034602076124567475}",20,4,16.843026969866617,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.0030864197530864196}",25,0,35.96520204212982,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.002770083102493075}",20,8,19.058923251089663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.0025}",20,0,28.11453019440517,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.0022675736961451248}",20,0,29.023820095515873,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.9, 'e': 0.002066115702479339}",20,10,6.699353667962271,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.001890359168241966}",25,17,13.852297937078744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.001736111111111111}",20,16,4.111733975151371,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.0016}",30,0,-14.139927043684828,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.0014792899408284023}",20,0,-20.060931613938727,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.0013717421124828531}",25,5,11.565090815413495,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.0012755102040816326}",20,0,20.741123646807377,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.0011890606420927466}",20,16,6.157315069505517,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.0011111111111111111}",35,16,-20.983609453741337,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.9, 'e': 0.001040582726326743}",20,8,-28.215096166057446,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.9, 'e': 0.0009765625}",20,0,-12.27539114468044,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.9, 'e': 0.0009182736455463728}",20,12,2.147841433066668,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.0008650519031141869}",20,4,30.483361969975142,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.0008163265306122449}",25,19,11.242792006928045,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.0007716049382716049}",20,12,12.259445876304085,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
