trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-302.6156745706545,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.1130134356065,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.55740016949912,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.4045746526409,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.38075584712985,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.2839079063695,"{0: 21, 1: 0, 2: 7, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,10,-114.37471208130754,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.40596584822563,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.26998538725391,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.0890374381856,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,7,-47.923755603808715,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.87913596093068,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.14464654530556,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.6220036885877,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-395.11713126712834,"{0: 11, 1: 0, 2: 10, 3: 3, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.13737056101155,"{0: 16, 1: 0, 2: 9, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.53547212372783,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.15369880028854,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,2,-190.7114478873969,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 4}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.43476462917582,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-40.74839326934467,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-237.0964920505742,"{0: 22, 1: 0, 2: 8, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-271.252786303729,"{0: 10, 1: 0, 2: 8, 3: 4, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-217.10378615482878,"{0: 11, 1: 0, 2: 10, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,6,-0.5175968345880695,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-301.3906807478231,"{0: 18, 1: 0, 2: 10, 3: 3, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.97250510367188,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-224.50496812307105,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-239.05855026985134,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.3060251515387,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
